ObjectId,Crash_Seve,Crash_Date,Crash_Year,Crash_Time,Weather,Fatalities,Injured,Property_D,Injury_Typ,Crash_Type,Total_Vehi,Agency,Accident_R,Pedalcycli,Pedestrian,Motorcycli,SQ_MILES
5638243,INJURY CRASH,2015/04/11 00:00:00+00,2015,2026/08/30 17:59:00+00,CLEAR,0,2,,C,NON-COLLISION,1,LVMPD,2133352,,YES,,11.5248706
5638244,INJURY CRASH,2015/01/29 00:00:00+00,2015,2026/08/30 06:44:00+00,CLOUDY,0,1,,B,NON-COLLISION,1,LVMPD,2074538,,YES,,14.22795101
5638245,INJURY CRASH,2015/01/09 00:00:00+00,2015,2026/08/30 11:15:00+00,CLEAR,0,1,,C,REAR-END,3,LVMPD,2073919,,,,11.5248706
5638246,INJURY CRASH,2015/01/08 00:00:00+00,2015,2026/08/30 19:34:00+00,CLEAR,0,2,,C,REAR-END,2,LVMPD,2073906,,,,11.5248706
5638247,INJURY CRASH,2015/01/15 00:00:00+00,2015,2026/08/30 10:39:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2074113,,,,11.5248706
5638248,INJURY CRASH,2015/01/31 00:00:00+00,2015,2026/08/30 06:39:00+00,CLOUDY: RAIN,0,1,,C,SIDESWIPE OVERTAKING,2,LVMPD,2074611,,,,14.22795101
5638249,INJURY CRASH,2015/01/24 00:00:00+00,2015,2026/08/30 14:53:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2074400,,,,14.22795101
5638250,INJURY CRASH,2015/01/31 00:00:00+00,2015,2026/08/30 12:05:00+00,CLOUDY,0,1,,C,ANGLE,2,LVMPD,2074619,,,,14.22795101
5638251,INJURY CRASH,2015/01/28 00:00:00+00,2015,2026/08/30 07:11:00+00,CLEAR,0,1,,C,REAR-END,2,LVMPD,2074508,,,,17.10932924
5638252,PROPERTY DAMAGE ONLY,2015/01/01 00:00:00+00,2015,2026/08/30 03:04:00+00,CLOUDY,0,0,PDO,,SIDESWIPE OVERTAKING,2,LVMPD,2073648,,,,11.5248706
5638253,INJURY CRASH,2015/01/07 00:00:00+00,2015,2026/08/30 20:47:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2073870,,,,17.10932924
5638254,INJURY CRASH,2015/01/14 00:00:00+00,2015,2026/08/30 14:52:00+00,CLEAR,0,1,,B,REAR-END,2,NHP,2173089,,,,17.10932924
5638255,INJURY CRASH,2015/08/01 00:00:00+00,2015,2026/08/30 18:48:00+00,CLOUDY,0,1,,C,SIDESWIPE OVERTAKING,2,LVMPD,2155136,,,,14.22795101
5638256,INJURY CRASH,2015/04/17 00:00:00+00,2015,2026/08/30 08:54:00+00,CLEAR,0,3,,C,REAR-END,2,LVMPD,2133552,,,,29.22856507
5638257,INJURY CRASH,2015/04/12 00:00:00+00,2015,2026/08/30 08:05:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2133368,,,,11.5248706
